Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/item?id=1,10,0,4,4.14359629903629,1.1942489982175175,6.929404997208621,4.0,0.016667029031048778,0.0,4,4,6,7,7,7,7,7,7,7,7
GET,/item?id=10,14,0,4,4.619547571045197,1.5398309988086112,7.839420999516733,67.0,0.023333840643468287,0.0,5,6,6,6,7,8,8,8,8,8,8
GET,/item?id=100,8,0,4,4.448209499514633,2.827734002494253,5.8659919995989185,62.0,0.013333623224839022,0.0,5,5,5,5,6,6,6,6,6,6,6
GET,/item?id=1000,15,0,4,4.121429199828223,2.1443320001708344,7.661028997972608,77.0,0.025000543546573165,0.0,4,4,5,5,5,8,8,8,8,8,8
GET,/item?id=10000,10,0,5,4.962585500470595,2.236995998828206,6.769913001335226,72.0,0.016667029031048778,0.0,6,6,6,7,7,7,7,7,7,7,7
GET,/item?id=1001,8,0,3,3.7914443751105864,1.789205001841765,7.929278999654343,69.0,0.013333623224839022,0.0,3,4,5,5,8,8,8,8,8,8,8
GET,/item?id=1002,9,0,3,4.030057666871774,0.7324990001507103,7.630314001289662,71.0,0.015000326127943898,0.0,3,6,6,7,8,8,8,8,8,8,8
GET,/item?id=1003,6,0,5,5.426010666269576,3.252747999795247,8.576236003136728,67.0,0.010000217418629265,0.0,6,6,6,6,9,9,9,9,9,9,9
GET,/item?id=1004,12,0,3,3.991570250642932,0.700332999258535,7.209913997940021,69.0,0.02000043483725853,0.0,5,5,5,5,6,7,7,7,7,7,7
GET,/item?id=1005,9,0,4,4.478686667021571,2.6163699985772837,6.4854480006033555,69.0,0.015000326127943898,0.0,4,5,6,6,6,6,6,6,6,6,6
GET,/item?id=1006,6,0,3,2.638792834356233,0.6305410024651792,3.7479520033230074,63.0,0.010000217418629265,0.0,3,3,3,3,4,4,4,4,4,4,4
GET,/item?id=1007,10,0,4,3.8724466008716263,0.889145001565339,6.388164001691621,69.0,0.016667029031048778,0.0,4,5,6,6,6,6,6,6,6,6,6
GET,/item?id=1008,17,0,4,4.100837412646369,0.9211650030920282,10.883413000556175,74.0,0.02833394935278292,0.0,4,5,5,6,7,11,11,11,11,11,11
GET,/item?id=1009,13,0,4,4.57432892289944,0.7468760013580322,11.314977000438375,66.0,0.02166713774036341,0.0,4,5,5,6,6,11,11,11,11,11,11
GET,/item?id=101,10,0,4,3.5537280004064087,0.6647490008617751,8.244820000982145,69.0,0.016667029031048778,0.0,4,4,4,5,8,8,8,8,8,8,8
GET,/item?id=1010,14,0,4,6.340245071052258,1.0440339974593371,36.95823099769768,63.0,0.023333840643468287,0.0,4,5,6,6,6,37,37,37,37,37,37
GET,/item?id=1011,7,0,4,4.2550772850518115,0.7059169984131586,9.117397999943933,69.0,0.011666920321734144,0.0,4,5,6,6,9,9,9,9,9,9,9
GET,/item?id=1012,11,0,4,4.585435818378094,1.2680590007221326,9.55586000054609,65.0,0.018333731934153653,0.0,4,5,7,7,8,10,10,10,10,10,10
GET,/item?id=1013,7,0,4,6.731553285914872,2.0135409977228846,24.78379199965275,75.0,0.011666920321734144,0.0,4,4,7,7,25,25,25,25,25,25,25
GET,/item?id=1014,16,0,4,5.148922812168166,2.6452129968674853,16.02093199835508,68.0,0.026667246449678043,0.0,5,5,5,5,7,16,16,16,16,16,16
GET,/item?id=1015,11,0,5,7.889846727762646,0.749249000364216,42.254681000486016,86.0,0.018333731934153653,0.0,5,6,6,6,7,42,42,42,42,42,42
GET,/item?id=1016,10,0,3,3.1380459004139993,0.8463320009468589,5.673386000125902,72.0,0.016667029031048778,0.0,3,4,4,5,6,6,6,6,6,6,6
GET,/item?id=1017,11,0,4,3.990393637319688,1.914881999255158,6.13851500020246,90.0,0.018333731934153653,0.0,4,4,6,6,6,6,6,6,6,6,6
GET,/item?id=1018,10,0,5,5.194024899901706,2.599808998638764,8.156370000506286,63.0,0.016667029031048778,0.0,5,6,7,7,8,8,8,8,8,8,8
GET,/item?id=1019,10,0,4,4.894192799838493,1.468955997552257,9.442317001230549,63.0,0.016667029031048778,0.0,5,6,6,6,9,9,9,9,9,9,9
GET,/item?id=102,12,0,5,5.547923750176172,0.9127070006798021,12.259397000889294,59.0,0.02000043483725853,0.0,5,5,9,9,10,12,12,12,12,12,12
GET,/item?id=1020,9,0,3,4.794650111256892,1.9554550017346628,10.623398997267941,63.0,0.015000326127943898,0.0,3,5,6,9,11,11,11,11,11,11,11
GET,/item?id=1021,19,0,3,4.412605789088718,1.1635000009846408,11.70610599729116,67.0,0.031667355158992674,0.0,3,5,5,5,8,12,12,12,12,12,12
GET,/item?id=1022,9,0,3,4.676146444075534,0.8849570003803819,13.741242000833154,64.0,0.015000326127943898,0.0,3,5,5,8,14,14,14,14,14,14,14
GET,/item?id=1023,12,0,3,4.065008166435291,1.1210820011910982,7.705988999077817,65.0,0.02000043483725853,0.0,5,5,7,7,7,8,8,8,8,8,8
GET,/item?id=1024,9,0,3,4.111595556120544,2.246676001959713,7.273704002727754,65.0,0.015000326127943898,0.0,3,4,6,6,7,7,7,7,7,7,7
GET,/item?id=1025,11,0,4,4.5305123633377,2.3217870002554264,11.708354999427684,61.0,0.018333731934153653,0.0,4,5,5,5,5,12,12,12,12,12,12
GET,/item?id=1026,10,0,4,4.3903863999730675,3.0022450009710155,8.020983001188142,78.0,0.016667029031048778,0.0,4,5,5,5,8,8,8,8,8,8,8
GET,/item?id=1027,5,0,3,2.662397599488031,0.7601659999636468,4.5844149972253945,61.0,0.008333514515524389,0.0,3,3,3,5,5,5,5,5,5,5,5
GET,/item?id=1028,12,0,5,5.447121166980651,2.0170460011286195,10.853621999558527,62.0,0.02000043483725853,0.0,5,6,7,7,10,11,11,11,11,11,11
GET,/item?id=1029,7,0,4,4.639568857653233,2.804146999551449,8.589944001869299,72.0,0.011666920321734144,0.0,4,4,6,6,9,9,9,9,9,9,9
GET,/item?id=103,10,0,3,3.758087100504781,2.105913001287263,7.104196000000229,64.0,0.016667029031048778,0.0,4,4,5,5,7,7,7,7,7,7,7
GET,/item?id=1030,11,0,4,4.638669000004566,1.2363469977572095,8.938027000112925,66.0,0.018333731934153653,0.0,4,6,7,7,7,9,9,9,9,9,9
GET,/item?id=1031,15,0,4,3.99321826674471,3.0522029992425814,5.449948999739718,67.0,0.025000543546573165,0.0,4,4,5,5,5,5,5,5,5,5,5
GET,/item?id=1032,12,0,3,3.1938164168726266,0.9428969970031176,5.341867003153311,64.0,0.02000043483725853,0.0,3,4,5,5,5,5,5,5,5,5,5
GET,/item?id=1033,12,0,4,4.636673666633821,1.0981650011672173,11.113410000689328,65.0,0.02000043483725853,0.0,4,5,6,6,6,11,11,11,11,11,11
GET,/item?id=1034,6,0,3,3.8190986670088023,1.1995390013908036,6.863239002996124,71.0,0.010000217418629265,0.0,4,4,4,4,7,7,7,7,7,7,7
GET,/item?id=1035,7,0,4,3.818300000732831,0.6956659999559633,6.074847999116173,75.0,0.011666920321734144,0.0,4,4,5,5,6,6,6,6,6,6,6
GET,/item?id=1036,15,0,4,4.304340733021188,1.0907899995800108,7.370321000053082,70.0,0.025000543546573165,0.0,4,5,6,6,7,7,7,7,7,7,7
GET,/item?id=1037,9,0,4,4.175947444713933,2.8786619986931328,7.061869000608567,65.0,0.015000326127943898,0.0,4,4,4,6,7,7,7,7,7,7,7
GET,/item?id=1038,17,0,3,3.568690706100931,0.7972560015332419,7.487704999221023,64.0,0.02833394935278292,0.0,3,4,4,5,6,7,7,7,7,7,7
GET,/item?id=1039,15,0,4,3.8992969998313733,0.7317079980566632,7.3918710004363675,70.0,0.025000543546573165,0.0,4,5,5,6,7,7,7,7,7,7,7
GET,/item?id=104,20,0,4,4.38094015007664,0.7132489990908653,9.868234003079124,61.0,0.033334058062097556,0.0,4,4,5,6,8,10,10,10,10,10,10
GET,/item?id=1040,13,0,4,12.37867792308232,1.3017300007049926,108.56323299958603,65.0,0.02166713774036341,0.0,4,4,5,8,10,110,110,110,110,110,110
GET,/item?id=1041,8,0,3,4.792068000369909,2.240205001726281,8.787984999798937,68.0,0.013333623224839022,0.0,5,6,8,8,9,9,9,9,9,9,9
GET,/item?id=1042,8,0,4,3.7387847492027504,0.6903270004841033,6.991620997723658,82.0,0.013333623224839022,0.0,4,5,5,5,7,7,7,7,7,7,7
GET,/item?id=1043,7,0,3,3.9214132848428562,1.0800399977597408,9.410109996679239,65.0,0.011666920321734144,0.0,3,4,7,7,9,9,9,9,9,9,9
GET,/item?id=1044,10,0,3,4.304653200597386,0.9185400012938771,8.478995998302707,71.0,0.016667029031048778,0.0,4,5,6,7,8,8,8,8,8,8,8
GET,/item?id=1045,6,0,3,3.4080519999406533,1.304581997828791,5.9886150011152495,84.0,0.010000217418629265,0.0,3,3,4,4,6,6,6,6,6,6,6
GET,/item?id=1046,9,0,5,4.027996888908092,1.857374001701828,6.5352460005669855,63.0,0.015000326127943898,0.0,5,5,5,5,7,7,7,7,7,7,7
GET,/item?id=1047,11,0,3,3.993117182041963,1.0607900003378745,11.036578001949238,70.0,0.018333731934153653,0.0,3,4,5,5,6,11,11,11,11,11,11
GET,/item?id=1048,9,0,2,3.0038901107521574,0.7899150004959665,6.860287998279091,61.0,0.015000326127943898,0.0,2,3,4,5,7,7,7,7,7,7,7
GET,/item?id=1049,8,0,5,19.100704249922273,3.194248001818778,76.06812299854937,77.0,0.013333623224839022,0.0,5,7,49,49,76,76,76,76,76,76,76
GET,/item?id=105,10,0,4,5.703189399719122,2.877996001188876,12.214729998959228,62.0,0.016667029031048778,0.0,5,5,6,11,12,12,12,12,12,12,12
GET,/item?id=1050,7,0,3,3.609368713763875,2.434898000501562,5.3126159982639365,67.0,0.011666920321734144,0.0,3,3,5,5,5,5,5,5,5,5,5
GET,/item?id=1051,11,0,5,5.318200545099733,0.5539160010812338,9.446775999094825,63.0,0.018333731934153653,0.0,5,5,8,8,8,9,9,9,9,9,9
GET,/item?id=1052,6,0,3,4.181282000596791,1.2947909999638796,9.333235000667628,64.0,0.010000217418629265,0.0,4,4,4,4,9,9,9,9,9,9,9
GET,/item?id=1053,4,0,3,4.450471750715224,2.9299150010047015,6.673654999758583,68.0,0.006666811612419511,0.0,5,5,7,7,7,7,7,7,7,7,7
GET,/item?id=1054,14,0,3,3.3267632851285662,0.6041919987183064,6.532030998641858,65.0,0.023333840643468287,0.0,3,5,5,6,6,7,7,7,7,7,7
GET,/item?id=1055,13,0,3,3.7394549998190576,1.8096219973813277,8.560109999962151,91.0,0.02166713774036341,0.0,3,4,5,5,6,9,9,9,9,9,9
GET,/item?id=1056,10,0,3,3.6493946001428412,1.684456001385115,7.307197000045562,71.0,0.016667029031048778,0.0,3,4,4,5,7,7,7,7,7,7,7
GET,/item?id=1057,10,0,4,4.463859599491116,0.8098520011117216,7.4930289993062615,65.0,0.016667029031048778,0.0,5,6,6,7,7,7,7,7,7,7,7
GET,/item?id=1058,8,0,3,3.8524540000253182,1.7042069994204212,5.905532001634128,72.0,0.013333623224839022,0.0,4,5,6,6,6,6,6,6,6,6,6
GET,/item?id=1059,7,0,4,4.750601857397539,1.6510800014657434,7.100868999259546,63.0,0.011666920321734144,0.0,4,5,7,7,7,7,7,7,7,7,7
GET,/item?id=106,10,0,3,3.743087299517356,2.3401629987347405,6.294407001405489,69.0,0.016667029031048778,0.0,4,4,5,5,6,6,6,6,6,6,6
